Date,Open,High,Low,Close,Volume,Adjusted Close
2016-01-22,3.27,3.33,3.04,3.25,5802300.0,3.25
2016-01-21,2.88,3.19,2.88,3.11,4114900.0,3.11
2016-01-20,2.79,3.0,2.68,2.93,9052700.0,2.93
2016-01-19,3.55,3.56,3.06,3.07,5698600.0,3.07
2016-01-15,3.42,3.64,3.42,3.5,6400800.0,3.5
2016-01-14,3.68,3.83,3.55,3.68,5209700.0,3.68
2016-01-13,3.68,3.81,3.55,3.63,5758900.0,3.63
2016-01-12,4.14,4.15,3.61,3.65,5675900.0,3.65
2016-01-11,4.27,4.3,3.82,3.93,4838100.0,3.93
2016-01-08,4.35,4.39,4.2,4.27,4307800.0,4.27
2016-01-07,4.54,4.64,4.28,4.33,4909800.0,4.33
2016-01-06,4.99,5.0,4.61,4.71,4123500.0,4.71
2016-01-05,5.33,5.4,5.08,5.11,3937200.0,5.11
2016-01-04,5.41,5.46,5.27,5.38,3721300.0,5.38
2015-12-31,5.23,5.42,5.18,5.4,2565700.0,5.4
2015-12-30,5.21,5.48,5.2,5.27,2076900.0,5.27
2015-12-29,5.55,5.61,5.25,5.33,2785200.0,5.33
2015-12-28,5.5,5.51,5.34,5.41,1826600.0,5.41
2015-12-24,5.81,5.83,5.63,5.64,1369500.0,5.64
2015-12-23,5.62,5.85,5.56,5.8,3221000.0,5.8
2015-12-22,5.32,5.5,5.3,5.46,4566900.0,5.46
2015-12-21,5.32,5.39,5.14,5.35,4750800.0,5.35
2015-12-18,5.58,5.6,5.26,5.31,5274600.0,5.31
2015-12-17,5.77,5.85,5.42,5.56,6945900.0,5.56
2015-12-16,6.07,6.14,5.79,5.82,5482500.0,5.82
2015-12-15,6.2,6.29,6.09,6.12,4834700.0,6.12
2015-12-14,6.39,6.4,6.04,6.07,4959900.0,6.07
2015-12-11,6.81,6.92,6.4,6.43,4463800.0,6.43
2015-12-10,6.92,7.15,6.86,6.96,3474900.0,6.96
2015-12-09,7.05,7.34,6.85,7.0,4012600.0,7.0
2015-12-08,6.66,6.96,6.57,6.9,3894800.0,6.9
2015-12-07,7.06,7.18,6.73,6.82,4484500.0,6.82
2015-12-04,7.42,7.47,7.13,7.23,2682700.0,7.23
2015-12-03,7.71,7.74,7.44,7.55,3382500.0,7.55
2015-12-02,7.65,7.74,7.46,7.61,4375400.0,7.61
2015-12-01,7.41,7.85,7.4,7.66,6627700.0,7.66
2015-11-30,7.88,7.89,7.21,7.37,19094300.0,7.37
2015-11-27,8.02,8.11,7.79,7.86,1598800.0,7.86
2015-11-25,8.0,8.26,7.88,8.12,2455200.0,8.12
2015-11-24,7.76,8.2,7.74,8.09,4221300.0,8.09
2015-11-23,7.73,7.9,7.65,7.67,4571100.0,7.67
2015-11-20,7.81,8.08,7.65,7.76,3838700.0,7.76
2015-11-19,8.17,8.21,7.62,7.81,3674900.0,7.81
2015-11-18,7.96,8.3,7.9,8.26,3508700.0,8.26
2015-11-17,8.02,8.03,7.7,7.89,4375000.0,7.89
2015-11-16,7.81,8.13,7.74,8.1,4102900.0,8.1
2015-11-13,8.17,8.25,7.61,7.84,9408000.0,7.84
2015-11-12,8.32,8.52,8.14,8.19,3636400.0,8.19
2015-11-11,8.98,9.03,8.45,8.47,2799700.0,8.47
2015-11-10,8.9,9.06,8.7,8.99,2775200.0,8.99
2015-11-09,8.93,9.05,8.82,8.94,3158700.0,8.94
2015-11-06,8.83,8.97,8.74,8.89,3512200.0,8.89
2015-11-05,9.08,9.43,8.86,8.92,4945600.0,8.92
2015-11-04,8.75,9.16,8.71,9.15,6712400.0,9.15
2015-11-03,8.01,9.13,7.94,8.72,10226700.0,8.72
2015-11-02,7.61,7.97,7.59,7.91,6166400.0,7.91
2015-10-30,7.59,7.77,7.34,7.67,2829900.0,7.67
2015-10-29,7.41,7.81,7.34,7.55,3691900.0,7.55
2015-10-28,7.25,7.64,7.13,7.36,2632600.0,7.36
2015-10-27,7.32,7.49,7.13,7.2,2740500.0,7.2
2015-10-26,7.62,7.63,7.35,7.38,2370000.0,7.38
2015-10-23,7.59,7.76,7.44,7.66,2348100.0,7.66
2015-10-22,7.64,7.76,7.44,7.62,2041700.0,7.62
2015-10-21,7.78,7.81,7.54,7.56,2157300.0,7.56
2015-10-20,7.85,8.06,7.74,7.83,3288800.0,7.83
2015-10-19,8.18,8.26,7.81,7.86,3010100.0,7.86
2015-10-16,8.28,8.44,8.18,8.28,4099700.0,8.28
2015-10-15,7.7,8.32,7.68,8.24,6409000.0,8.24
2015-10-14,7.68,7.86,7.55,7.77,4640200.0,7.77
2015-10-13,7.64,7.99,7.57,7.68,3563900.0,7.68
2015-10-12,7.8,7.88,7.43,7.72,6457800.0,7.72
2015-10-09,7.79,7.95,7.69,7.8,4865000.0,7.8
2015-10-08,7.58,7.9,7.5,7.75,3767500.0,7.75
2015-10-07,7.77,7.78,7.25,7.55,5492900.0,7.55
2015-10-06,7.55,7.84,7.52,7.55,6589900.0,7.55
2015-10-05,7.52,7.69,7.39,7.5,4160400.0,7.5
2015-10-02,6.99,7.49,6.92,7.4,4168400.0,7.4
2015-10-01,7.19,7.46,6.93,7.08,3076500.0,7.08
2015-09-30,6.92,7.1,6.78,7.08,4741000.0,7.08
2015-09-29,6.99,7.08,6.73,6.8,2380400.0,6.8
2015-09-28,7.0,7.08,6.74,6.9,3755500.0,6.9
2015-09-25,7.23,7.29,6.94,7.09,2505700.0,7.09
2015-09-24,7.05,7.27,7.01,7.16,2370700.0,7.16
2015-09-23,7.61,7.73,7.11,7.13,2041000.0,7.13
2015-09-22,7.6,7.77,7.47,7.57,2476000.0,7.57
2015-09-21,8.0,8.07,7.71,7.73,2406600.0,7.73
2015-09-18,7.99,8.14,7.73,7.91,6456600.0,7.91
2015-09-17,8.38,8.52,8.05,8.13,6549300.0,8.13
2015-09-16,8.34,8.71,8.24,8.38,4615200.0,8.38
2015-09-15,7.96,8.3,7.96,8.2,1827700.0,8.2
2015-09-14,7.98,8.1,7.85,7.93,1956000.0,7.93
2015-09-11,8.1,8.19,7.87,8.03,2616900.0,8.03
2015-09-10,8.23,8.38,8.01,8.25,2489700.0,8.25
2015-09-09,7.92,8.38,7.92,8.15,4808600.0,8.15
2015-09-08,7.78,7.94,7.67,7.91,2887700.0,7.91
2015-09-04,7.89,8.02,7.54,7.62,4266300.0,7.62
2015-09-03,7.79,8.35,7.73,8.03,4336400.0,8.03
2015-09-02,8.13,8.13,7.58,7.73,4597900.0,7.73
2015-09-01,7.67,8.16,7.62,8.02,6443200.0,8.02
2015-08-31,8.05,8.19,7.65,8.01,9131100.0,8.01
2015-08-28,8.31,8.44,7.95,8.12,8009100.0,8.12
2015-08-27,8.19,8.56,8.04,8.38,7011200.0,8.38
2015-08-26,8.13,8.14,7.71,7.92,5942000.0,7.92
2015-08-25,8.16,8.46,7.89,7.94,9754700.0,7.94
2015-08-24,7.05,8.19,6.99,7.98,8525400.0,7.98
2015-08-21,7.29,7.39,7.23,7.24,4541300.0,7.24
2015-08-20,7.8,7.86,7.29,7.3,2222300.0,7.3
2015-08-19,7.99,8.04,7.56,7.78,1950500.0,7.78
2015-08-18,8.02,8.17,7.93,8.07,1916500.0,8.07
2015-08-17,8.28,8.3,7.98,8.07,2941800.0,8.07
2015-08-14,8.51,8.64,8.26,8.26,1798100.0,8.26
2015-08-13,8.03,8.66,7.97,8.45,1954800.0,8.45
2015-08-12,8.82,9.02,8.59,8.8,2781100.0,8.8
2015-08-11,8.61,8.85,8.44,8.82,2618600.0,8.82
2015-08-10,8.23,8.86,8.15,8.83,2333600.0,8.83
2015-08-07,8.44,8.73,8.16,8.23,3765100.0,8.23
2015-08-06,7.91,8.58,7.74,8.56,3245800.0,8.56
2015-08-05,8.1,8.47,7.9,8.01,3854200.0,8.01
2015-08-04,7.41,8.05,7.36,7.94,3727200.0,7.94
2015-08-03,7.58,7.77,7.36,7.48,4450500.0,7.48
2015-07-31,8.01,8.01,7.68,7.71,2487300.0,7.71
2015-07-30,8.22,8.37,7.97,8.0,2472300.0,8.0
2015-07-29,7.93,8.33,7.82,8.31,4069600.0,8.31
2015-07-28,7.56,8.09,7.56,7.98,3146400.0,7.98
2015-07-27,7.63,7.72,7.46,7.5,2458200.0,7.5
2015-07-24,7.99,8.07,7.82,7.82,2695200.0,7.82
2015-07-23,8.13,8.2,7.89,8.0,2543700.0,8.0
2015-07-22,7.98,8.1,7.82,8.08,5283200.0,8.08
2015-07-21,7.83,8.17,7.8,8.08,3780000.0,8.08
2015-07-20,8.08,8.15,7.72,7.77,2453600.0,7.77
2015-07-17,8.49,8.54,8.13,8.16,1910300.0,8.16
2015-07-16,8.78,8.78,8.43,8.5,1887000.0,8.5
2015-07-15,8.98,9.2,8.72,8.72,2383100.0,8.72
2015-07-14,8.91,9.21,8.91,9.05,4235300.0,9.05
2015-07-13,9.01,9.06,8.85,8.95,2438800.0,8.95
2015-07-10,9.22,9.38,9.02,9.06,1451000.0,9.06
2015-07-09,9.2,9.36,9.16,9.18,2362900.0,9.18
2015-07-08,9.36,9.52,8.94,9.0,2352000.0,9.0
2015-07-07,9.24,9.56,9.03,9.42,3416700.0,9.42
2015-07-06,9.33,9.44,9.13,9.28,1786100.0,9.28
2015-07-02,9.31,9.67,9.3,9.57,2138000.0,9.57
2015-07-01,9.74,9.82,9.26,9.3,3635700.0,9.3
2015-06-30,9.89,9.97,9.7,9.71,2108700.0,9.71
2015-06-29,9.89,10.06,9.79,9.79,2414900.0,9.79
2015-06-26,10.3,10.32,10.05,10.07,7524000.0,10.07
2015-06-25,10.46,10.51,10.26,10.32,1254300.0,10.32
2015-06-24,10.5,10.68,10.36,10.44,1160100.0,10.44
2015-06-23,10.28,10.5,10.24,10.5,1872400.0,10.5
2015-06-22,10.24,10.38,10.12,10.28,1752000.0,10.28
2015-06-19,10.2,10.32,10.1,10.22,2253700.0,10.22
2015-06-18,10.53,10.6,10.27,10.27,1640900.0,10.27
2015-06-17,10.73,10.77,10.37,10.49,1412000.0,10.49
2015-06-16,10.53,10.66,10.44,10.62,1245000.0,10.62
2015-06-15,10.39,10.69,10.31,10.53,1955900.0,10.53
2015-06-12,10.55,10.65,10.49,10.51,1051800.0,10.51
2015-06-11,10.7,10.73,10.55,10.62,1362200.0,10.62
2015-06-10,10.75,10.87,10.59,10.67,1702300.0,10.67
2015-06-09,10.18,10.55,10.12,10.54,2248500.0,10.54
2015-06-08,10.3,10.38,9.99,10.01,1447900.0,10.01
2015-06-05,10.03,10.53,9.93,10.34,2021400.0,10.34
2015-06-04,10.22,10.26,9.97,10.08,1399400.0,10.08
2015-06-03,10.23,10.41,10.13,10.3,1646300.0,10.3
2015-06-02,9.99,10.28,9.88,10.28,2081200.0,10.28
2015-06-01,10.16,10.2,9.78,9.92,2195700.0,9.92
2015-05-29,10.05,10.33,10.01,10.16,3405500.0,10.16
2015-05-28,9.67,10.07,9.56,10.05,3429200.0,10.05
2015-05-27,9.86,9.98,9.72,9.78,2553700.0,9.78
2015-05-26,10.15,10.23,9.87,9.9,1451800.0,9.9
2015-05-22,10.13,10.31,10.06,10.26,1382600.0,10.26
2015-05-21,9.94,10.26,9.9,10.25,1653000.0,10.25
2015-05-20,10.13,10.15,9.79,9.9,2424700.0,9.9
2015-05-19,10.34,10.45,9.95,10.06,2095700.0,10.06
2015-05-18,10.44,10.57,10.26,10.56,1811500.0,10.56
2015-05-15,10.32,10.49,10.11,10.42,1649000.0,10.42
2015-05-14,10.89,10.93,10.36,10.39,2943200.0,10.39
2015-05-13,11.1,11.2,10.76,10.81,3486200.0,10.81
2015-05-12,10.66,11.16,10.61,11.04,3773300.0,11.04
2015-05-11,10.71,10.72,10.35,10.6,2184600.0,10.6
2015-05-08,10.36,10.66,9.94,10.64,2336100.0,10.64
2015-05-07,10.3,10.41,10.06,10.22,2796800.0,10.22
2015-05-06,10.39,10.67,10.26,10.32,2869100.0,10.32
2015-05-05,10.65,10.85,10.16,10.21,4528500.0,10.21
2015-05-04,10.52,10.63,10.33,10.58,2941700.0,10.58
2015-05-01,10.58,10.66,10.44,10.54,3305100.0,10.54
2015-04-30,10.62,10.73,10.32,10.7,2928900.0,10.7
2015-04-29,10.23,10.54,10.07,10.51,2947200.0,10.51
2015-04-28,10.05,10.37,9.99,10.22,3181600.0,10.22
2015-04-27,10.31,10.35,10.04,10.08,1280000.0,10.08
2015-04-24,10.37,10.51,10.09,10.24,1459900.0,10.24
2015-04-23,10.18,10.49,10.17,10.43,1826800.0,10.43
2015-04-22,10.09,10.42,10.09,10.12,2479900.0,10.12
2015-04-21,10.53,10.58,10.14,10.23,2551600.0,10.23
2015-04-20,10.61,10.82,10.5,10.5,2299800.0,10.5
2015-04-17,10.75,10.86,10.52,10.64,2319300.0,10.64
2015-04-16,10.66,11.04,10.53,10.84,2936100.0,10.84
2015-04-15,10.4,10.7,10.25,10.7,6638700.0,10.7
2015-04-14,10.27,10.37,10.17,10.3,4984000.0,10.3
2015-04-13,10.28,10.3,10.01,10.17,2197900.0,10.17
2015-04-10,10.58,10.58,10.03,10.13,3594300.0,10.13
2015-04-09,10.41,10.51,10.25,10.28,1750700.0,10.28
2015-04-08,10.88,10.92,10.24,10.32,5166800.0,10.32
2015-04-07,10.26,10.79,10.24,10.77,3611500.0,10.77
2015-04-06,9.88,10.4,9.82,10.37,3857800.0,10.37
2015-04-02,9.44,9.79,9.41,9.78,3338400.0,9.78
2015-04-01,9.49,9.69,9.38,9.55,3367700.0,9.55
2015-03-31,9.18,9.52,9.14,9.41,2537300.0,9.41
2015-03-30,9.55,9.59,9.08,9.3,3145300.0,9.3
2015-03-27,9.68,9.73,9.37,9.39,2881500.0,9.39
2015-03-26,9.68,9.87,9.54,9.78,3397300.0,9.78
2015-03-25,9.21,9.47,9.11,9.4,2927500.0,9.4
2015-03-24,9.23,9.29,9.04,9.13,2358100.0,9.13
2015-03-23,9.07,9.51,9.05,9.26,2616300.0,9.26
2015-03-20,9.25,9.35,9.02,9.07,2440900.0,9.07
2015-03-19,9.0,9.24,8.96,9.1,1781200.0,9.1
2015-03-18,8.61,9.33,8.59,9.24,2336800.0,9.24
2015-03-17,8.83,9.0,8.73,8.74,2142700.0,8.74
2015-03-16,8.9,8.98,8.58,8.94,2747600.0,8.94
2015-03-13,9.07,9.22,8.89,8.97,3253800.0,8.97
2015-03-12,9.51,9.58,9.18,9.21,1514200.0,9.21
2015-03-11,9.24,9.48,9.15,9.45,2159600.0,9.45
2015-03-10,9.39,9.56,9.15,9.22,4068500.0,9.22
2015-03-09,9.93,10.08,9.53,9.56,3199700.0,9.56
2015-03-06,9.91,9.93,9.75,9.91,4316500.0,9.91
2015-03-05,10.11,10.21,9.94,9.94,2252500.0,9.94
2015-03-04,10.19,10.23,9.93,10.15,3200900.0,10.15
2015-03-03,10.16,10.23,10.07,10.15,3613900.0,10.15
2015-03-02,10.13,10.2,9.73,10.11,7271200.0,10.11
2015-02-27,9.87,10.24,9.86,10.24,6227000.0,10.24
2015-02-26,9.57,10.05,9.46,9.81,5358500.0,9.81
2015-02-25,9.24,9.77,9.14,9.67,5715300.0,9.67
2015-02-24,8.66,9.32,8.57,9.24,7448000.0,9.24
2015-02-23,7.73,8.53,7.73,8.53,10027500.0,8.53
2015-02-20,8.87,8.94,8.79,8.86,2486100.0,8.86
2015-02-19,8.72,8.96,8.48,8.87,2899500.0,8.87
2015-02-18,8.83,9.0,8.78,8.93,4444300.0,8.93
2015-02-17,8.86,8.94,8.67,8.91,2802900.0,8.91
2015-02-13,8.86,8.93,8.72,8.9,3527100.0,8.9
2015-02-12,8.91,8.98,8.51,8.7,5326900.0,8.7
2015-02-11,8.49,8.84,8.31,8.71,2873100.0,8.71
2015-02-10,8.82,8.83,8.36,8.63,3493200.0,8.63
2015-02-09,8.82,9.0,8.7,8.78,3919100.0,8.78
2015-02-06,8.93,8.98,8.64,8.73,3924500.0,8.73
2015-02-05,9.07,9.18,8.78,8.89,5690400.0,8.89
2015-02-04,9.01,9.2,8.74,8.95,4726800.0,8.95
2015-02-03,9.44,9.64,9.1,9.23,8237300.0,9.23
2015-02-02,9.28,9.28,8.98,9.24,4022900.0,9.24
2015-01-30,8.98,9.28,8.73,9.12,5032300.0,9.12
2015-01-29,8.97,9.16,8.57,9.11,4980500.0,9.11
2015-01-28,9.01,9.16,8.61,8.92,7797200.0,8.92
2015-01-27,8.43,8.86,8.3,8.78,3607400.0,8.78
2015-01-26,8.32,8.63,8.27,8.62,2422900.0,8.62
2015-01-23,8.26,8.64,8.23,8.3,3014300.0,8.3
2015-01-22,8.45,8.47,8.06,8.31,2571400.0,8.31
2015-01-21,8.03,8.45,7.98,8.37,3114500.0,8.37
2015-01-20,8.13,8.13,7.77,7.91,3328600.0,7.91
2015-01-16,7.97,8.28,7.9,8.26,3176600.0,8.26
2015-01-15,8.49,8.54,7.84,7.9,4671600.0,7.9
2015-01-14,8.05,8.42,7.89,8.39,5398600.0,8.39
2015-01-13,8.32,8.38,7.79,8.11,6276000.0,8.11
2015-01-12,8.42,8.42,8.05,8.24,2685000.0,8.24
2015-01-09,8.61,8.79,8.38,8.58,5548800.0,8.58
2015-01-08,8.56,8.94,8.48,8.64,4607100.0,8.64
2015-01-07,8.6,8.89,8.35,8.44,4031000.0,8.44
2015-01-06,8.44,8.56,8.02,8.43,6422400.0,8.43
2015-01-05,8.61,8.85,8.23,8.25,4057000.0,8.25
2015-01-02,8.81,9.1,8.66,8.94,2952100.0,8.94
2014-12-31,8.75,9.02,8.6,8.89,2661400.0,8.89
2014-12-30,8.94,9.11,8.78,8.87,2599700.0,8.87
2014-12-29,8.93,9.17,8.79,9.02,3027400.0,9.02
2014-12-26,8.96,9.16,8.83,8.89,2564100.0,8.89
2014-12-24,8.97,9.07,8.7,8.79,1646000.0,8.79
2014-12-23,9.06,9.2,8.93,9.04,3658700.0,9.04
2014-12-22,9.22,9.25,8.63,8.91,4944400.0,8.91
2014-12-19,8.84,9.39,8.63,9.37,5797200.0,9.37
